metric_id,metric_name,metric_group,data_layer,formula,lookback_window,expected_timing,hypothesis,required_data,computable_now,sample_coverage,false_positive_risk,status,next_action,last_validated_at,evidence_report_path
PV_001,return_7d,price_volume,CoinGecko,(close_t - close_t-7) / close_t-7,7d,synchronous,Explosive breakout definition,price 7d,true,28/28,N/A (definition),COMPUTABLE,auto-compute for all samples,,
PV_002,volume_zscore_7d,price_volume,CoinGecko,(vol_ma_7d - vol_ma_30d) / vol_std_30d,30d,synchronous,Volume expansion confirms breakout,volume 30d,true,28/28,MEDIUM,COMPUTABLE,threshold sweep,,
PV_003,range_compression_7d,price_volume,CoinGecko,range_3d < p30 of range_30d,30d,leading (2-5d),Compression precedes directional moves,price 30d,true,28/28,HIGH,COMPUTABLE,control group validation,,
PV_004,quiet_breakout,price_volume,CoinGecko,ret_3d > 8% AND vol_z_7d < 2,7d,T0 confirmation,Breakout on moderate volume = early signal,price+volume 7d,true,28/28,MEDIUM,RESEARCH_ONLY,more sample validation,2026-05-04,phase5.2
DRV_001,oi_pct_change_3d,derivatives,OKX Trading Statistics,(oi_t - oi_t-3) / oi_t-3,3d,leading/synchronous,OI buildup before price,OKX OI history 90d,true (6 tokens),6/28,MEDIUM,COMPUTABLE,expand to >10 tokens,2026-05-04,phase5.3.2
DRV_002,funding_overheated_late,derivatives,OKX funding history,funding_z_7d > 2 near peak,7d,late (peak),Extreme funding = crowding risk,OKX funding 90d,true (6 tokens),6/28,LOW-MEDIUM,RISK_ONLY,confirm in >3 tokens,2026-05-04,phase5.3.2
DRV_003,deleveraging_during_crash,derivatives,OKX OI history,ret_3d < -10% AND oi_pct_3d < -15%,3d,lagging (confirmation),OI drop confirms crash severity,OKX OI 90d,true (6 tokens),6/28,LOW,CONFIRMATION_ONLY,auto-detect,2026-05-04,phase5.3.2
DEX_001,dex_activity_compression,dex_history,CoinGecko Pool OHLCV,pool_range_3d < p30 AND pool_vol_ma7 < pool_vol_ma30*0.8,30d,leading (5-10d),DEX compression before breakout,pool OHLCV 90d,true (5 tokens),5/28,HIGH,COMPUTABLE,control group testing,2026-05-04,phase5.4A
DEX_002,dex_leads_market_volume,dex_history,CoinGecko Pool OHLCV + market volume,pool_vol_z_7d > 1.5 AND market_vol_z_7d < 1.0,7d,leading (1-7d),DEX volume picks up before market,pool OHLCV + market volume,true (5 tokens),5/28,HIGH,IDEA,validate on P0 samples,,
SUP_001,circulating_to_total_ratio,supply_liquidity,CMC + Etherscan,CMC_circ / onchain_total,snapshot,structural,Low float = supply overhang risk,CMC supply + Etherscan supply,true (2-5 tokens),2/28,LOW,COMPUTABLE,expand CMC coverage,2026-05-04,phase4.4
SUP_002,dex_liquidity_fragility,supply_liquidity,DexScreener,total_liq < $100K OR concentration > 0.8,snapshot,structural,Low DEX liq = manipulable,DEX pair aggregation,true (24 tokens),24/28,HIGH (54% control),REJECTED_NOISE,rejected — too common,2026-05-04,phase5.2
TF_001,transfer_count_zscore_7d,transfer_flow_lite,MORALIS_CHANNEL,(cnt_ma7-cnt_ma30)/std,30d,leading/synchronous,Transfer burst may precede breakout,Moralis token transfers,true (4 tokens),4/28,HIGH,COMPUTABLE,validate on P0 samples,,phase6.1c
TF_002,entity_label_coverage,transfer_flow_lite,MORALIS_CHANNEL,labeled_count/total_count,snapshot,context,Label coverage limits entity-lite confidence,Moralis token transfers,true (4 tokens),4/28,LOW,COMPUTABLE,monitor coverage,,phase6.1c
TF_003,moralis_cex_proxy_transfer_count,transfer_flow_lite,MORALIS_CHANNEL,count(TO_MORALIS_LABELED_CEX_PROXY)/day,1d,lagging risk,CEX proxy transfers near peak = risk,Moralis token transfers + entity labels,true (2 tokens),2/28,HIGH,RISK_ONLY,validate with Arkham later,,phase6.1c

MT_001,transfer_count_zscore_7d,transfer_flow_lite,MORALIS_CHANNEL,(cnt_ma7-cnt_ma30)/std,30d,leading/synchronous,Transfer burst may precede breakout,Moralis token transfers,3 tokens,3/28,HIGH,COMPUTABLE,validate on P0 samples,,phase6.1e
MT_002,large_transfer_count_zscore_7d,transfer_flow_lite,MORALIS_CHANNEL,(large_ma7-large_ma30)/std,30d,lagging risk,Large transfer spike near peak = risk,Moralis token transfers,3 tokens,3/28,MEDIUM,COMPUTABLE,validate on P0,,phase6.1e
ME_001,entity_label_coverage,transfer_flow_lite,MORALIS_CHANNEL,labeled/total,snapshot,context,Coverage limits entity-lite confidence,Moralis token transfers,3 tokens,3/28,LOW,COMPUTABLE,monitor coverage,,phase6.1e
ME_002,moralis_cex_proxy_count,transfer_flow_lite,MORALIS_CHANNEL,count(CEX_PROXY)/day,1d,lagging risk,CEX proxy transfers near peak,Moralis transfers+labels,3 tokens,3/28,HIGH,RISK_ONLY,Arkham verification needed,,phase6.1e
MH_001,holder_growth_zscore_7d,holder_lite,MORALIS_CHANNEL,(growth_ma7-mean)/std,30d,leading (hypothesis),Holder growth before price = accumulation proxy,Moralis historical holders,0 tokens,0/28,HIGH,IDEA,need working historical holders endpoint,,phase6.1e
MH_002,top10_holder_share,holder_lite,MORALIS_CHANNEL,sum(top10)/total,snapshot,structural,Concentration = supply-side risk,Moralis top holders,0 tokens,0/28,LOW,IDEA,need top holders parser,,phase6.1e

AK_HE_001,labeled_holder_ratio,arkham_holder_entity,ARKHAM_CHANNEL,snapshot,snapshot,structural_context,Holder entity structural analysis (STRUCTURAL_RISK),Arkham token holders,12 tokens,12/28,LOW,COMPUTABLE,validate on more samples,,phase6.4b
AK_HE_002,cex_holder_ratio,arkham_holder_entity,ARKHAM_CHANNEL,snapshot,snapshot,structural_context,Holder entity structural analysis (STRUCTURAL_CONTEXT),Arkham token holders,12 tokens,12/28,LOW,COMPUTABLE,validate on more samples,,phase6.4b
AK_HE_003,unknown_holder_ratio,arkham_holder_entity,ARKHAM_CHANNEL,snapshot,snapshot,structural_context,Holder entity structural analysis (STRUCTURAL_RISK),Arkham token holders,12 tokens,12/28,LOW,COMPUTABLE,validate on more samples,,phase6.4b
AK_HE_004,top_entity_holder_share,arkham_holder_entity,ARKHAM_CHANNEL,snapshot,snapshot,structural_context,Holder entity structural analysis (NOISE),Arkham token holders,12 tokens,12/28,LOW,REJECTED_NOISE,validate on more samples,,phase6.4b
AK_HE_005,holder_entity_concentration,arkham_holder_entity,ARKHAM_CHANNEL,snapshot,snapshot,structural_context,Holder entity structural analysis (STRUCTURAL_CONTEXT),Arkham token holders,12 tokens,12/28,LOW,RESEARCH_ONLY,validate on more samples,,phase6.4b
AK_HE_006,market_maker_proxy_holder_count,arkham_holder_entity,ARKHAM_CHANNEL,snapshot,snapshot,structural_context,Holder entity structural analysis (STRUCTURAL_CONTEXT),Arkham token holders,12 tokens,12/28,LOW,COMPUTABLE,validate on more samples,,phase6.4b
AK_HE_007,fund_holder_count,arkham_holder_entity,ARKHAM_CHANNEL,snapshot,snapshot,structural_context,Holder entity structural analysis (STRUCTURAL_RISK),Arkham token holders,12 tokens,12/28,LOW,COMPUTABLE,validate on more samples,,phase6.4b
AK_HE_008,holder_entity_coverage,arkham_holder_entity,ARKHAM_CHANNEL,snapshot,snapshot,structural_context,Holder entity structural analysis (STRUCTURAL_RISK),Arkham token holders,12 tokens,12/28,LOW,COMPUTABLE,validate on more samples,,phase6.4b

AK_VOL_006,arkham_in_out_imbalance,arkham_volume,ARKHAM_CHANNEL,zscore,30d,synchronous,On-chain transfer volume extreme detection (RISK),Arkham volume time-series,10 tokens,10/28,HIGH,COMPUTABLE,validate on P0 samples,,phase6.4c
