checked_at,token,priority,chain,contract_address,included,side,scan_bucket,execution_gate,readiness_decision,scan_stage,primary_direction,long_bucket,short_bucket,confidence,opportunity_score,fragility_score,tradability_score,short_exec_decision,execution_score,blockers,reason,next_action,invalidation
2026-05-29T09:14:29.603Z,CHZ,P0,eth,0x3506424f91fd33084466f402d5d97f05f8e3b4af,true,LONG,LONG_AMBUSH_SCAN,SCAN_ALLOWED,READY_FOR_DEEP_SCAN,PROMOTE_DEEP_SCAN,LONG_AMBUSH,LONG_AMBUSH,NO_SHORT,HIGH,54,0,77,NOT_SHORT_CANDIDATE,0,,ready gate passed and long ambush bucket is active,"deepen entity-flow, liquidity, and invalidation checks before any execution decision",invalidate long if 4h/24h CEX proxy inflow turns positive or holder identity becomes unresolved
2026-05-29T09:14:29.603Z,LAB,P1,bsc,0x7ec43Cf65F1663F820427C62A5780b8f2E25593A,false,NONE,EXCLUDED_DATA_REPAIR,REPAIR_ONLY,LOW_CONFIDENCE_SCAN,BLOCK,DATA_REPAIR,NO_LONG,NO_SHORT,LOW,48,38,93,NOT_SHORT_CANDIDATE,0,,readiness gate is not clean,"repair coverage, labels, or holder identity before directional scanning",re-run scan-cycle after data repair or fresh onchain sample
2026-05-29T09:14:29.603Z,BILL,P2,eth,0xb1110919016846972056ab995054d65560d5f05e,false,NONE,EXCLUDED_DATA_REPAIR,REPAIR_ONLY,REPAIR_REQUIRED,BLOCK,NO_TRADE,NO_LONG,NO_SHORT,LOW,31,6,75,NOT_SHORT_CANDIDATE,0,,readiness gate is not clean,"repair coverage, labels, or holder identity before directional scanning",re-run scan-cycle after data repair or fresh onchain sample
2026-05-29T09:14:29.603Z,OP,P2,optimism,0x4200000000000000000000000000000000000042,false,NONE,EXCLUDED_DATA_REPAIR,REPAIR_ONLY,LOW_CONFIDENCE_SCAN,BLOCK,DATA_REPAIR,NO_LONG,NO_SHORT,LOW,25,8,49,NOT_SHORT_CANDIDATE,0,,readiness gate is not clean,"repair coverage, labels, or holder identity before directional scanning",re-run scan-cycle after data repair or fresh onchain sample
2026-05-29T09:14:29.603Z,ALLO,P2,eth,0x8408d45b61f5823298f19a09b53b7339c0280489,false,NONE,EXCLUDED_DATA_REPAIR,REPAIR_ONLY,REPAIR_REQUIRED,BLOCK,NO_TRADE,NO_LONG,NO_SHORT,LOW,19,76,85,NOT_SHORT_CANDIDATE,0,,readiness gate is not clean,"repair coverage, labels, or holder identity before directional scanning",re-run scan-cycle after data repair or fresh onchain sample
2026-05-29T09:14:29.603Z,ARB,P2,arbitrum,0x912CE59144191C1204E64559FE8253a0e49E6548,false,NONE,EXCLUDED_DATA_REPAIR,REPAIR_ONLY,LOW_CONFIDENCE_SCAN,BLOCK,DATA_REPAIR,NO_LONG,NO_SHORT,LOW,11,50,77,NOT_SHORT_CANDIDATE,0,,readiness gate is not clean,"repair coverage, labels, or holder identity before directional scanning",re-run scan-cycle after data repair or fresh onchain sample
2026-05-29T09:14:29.603Z,UB,P2,bsc,0x40b8129b786d766267a7a118cf8c07e31cdb6fde,false,NONE,EXCLUDED_DATA_REPAIR,REPAIR_ONLY,LOW_CONFIDENCE_SCAN,BLOCK,DATA_REPAIR,NO_LONG,NO_SHORT,LOW,10,46,85,NOT_SHORT_CANDIDATE,0,,readiness gate is not clean,"repair coverage, labels, or holder identity before directional scanning",re-run scan-cycle after data repair or fresh onchain sample
2026-05-29T09:14:29.603Z,BEAT,P2,bsc,0xcf3232b85b43bca90e51d38cc06cc8bb8c8a3e36,false,NONE,EXCLUDED_DATA_REPAIR,REPAIR_ONLY,LOW_CONFIDENCE_SCAN,BLOCK,DATA_REPAIR,NO_LONG,NO_SHORT,LOW,8,8,85,NOT_SHORT_CANDIDATE,0,,readiness gate is not clean,"repair coverage, labels, or holder identity before directional scanning",re-run scan-cycle after data repair or fresh onchain sample
2026-05-29T09:14:29.603Z,EDEN,P2,bsc,0x235b6fe22b4642ada16d311855c49ce7de260841,false,NONE,EXCLUDED_DATA_REPAIR,REPAIR_ONLY,LOW_CONFIDENCE_SCAN,BLOCK,DATA_REPAIR,NO_LONG,NO_SHORT,LOW,5,20,67,NOT_SHORT_CANDIDATE,0,,readiness gate is not clean,"repair coverage, labels, or holder identity before directional scanning",re-run scan-cycle after data repair or fresh onchain sample
2026-05-29T09:14:29.603Z,ENA,P2,eth,0x57e114B691Db790C35207b2e685D4A43181e6061,true,SHORT,SHORT_SETUP_SCAN,WATCH_ONLY,RISK_MONITOR_CEX_FLOW,BLOCK,SHORT_SETUP,NO_LONG,SHORT_SETUP,MEDIUM,3,50,67,SHORT_EXEC_READY,70,COINGLASS_OI_INCOMPLETE,short setup passed directionally but execution gate is not clean,keep on short watchlist; do not approve short execution,invalidate short if CEX proxy flow flips neutral/outflow and opportunity/tradability remain strong
